company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
Shionogi,,"Osaka, Japan",,"Shionogi & Co., Ltd. engages in the research, development, supply, manufacture, and sale of pharmaceutical products. Its products include prescription drugs, over-the-counter drugs, diagnostic regents, medical devices and others. The company was founded by Gisaburo Shiono on March 17, 1878 and is headquartered in Osaka, Japan.",Drugs & Biotechnology,1919,Osaka,Japan,,"5,693",$3.5B,$9.6B,$1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motozo Shiono,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkbank,,"Istanbul, Turkey",,"Turkiye Halk Bankasi AS engages in the provision of commercial banking and financial services. It operates through the following segments: Corporate; Commercial; Small-and-Medium Enterprise and Integrated; and Treasury and Investment. Its services include accepting deposits, issuance of cash and non-cash loans, purchasing cheques and bank bills, performing custody services, rendering insurance agency transactions, and trading the capital market instruments issued for the purpose of performing intermediary services. The company was founded in 1933 and is headquartered in Istanbul, Turkey.",Banking,1933,Istanbul,Turkey,,,$9.4B,$70.1B,$280M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osman Arslan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG Display,,"Seoul, South Korea",,"LG Display Co., Ltd. engages in the manufacture and sale of thin film transistor and organic light-emitting diode display (OLED) products. Its products include television, commercial, monitor, notebook, mobile, auto, and OLED display. The company was founded on February 28, 1985 and is headquartered in Seoul, South Korea.",Technology Hardware & Equipment,1985,Seoul,South Korea,,"27,702",$18.4B,$28.2B,-$3.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ho-Young Jeong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huadian Power International,,"Beijing, China",,"Huadian Power International Corp. Ltd. engages in the construction and operation of power plants. Its business activities include power generation, heating supplies, and sale of coal products. It generates hydropower, wind power, biomass, and solar electric power. The company was founded on June 28, 1994 and is headquartered in Beijing, China.",Utilities,1994,Beijing,China,,"25,139",$15.6B,$32.6B,-$121.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bin Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genmab,,"Copenhagen, Denmark",,"Genmab A/S operates as an international biotechnology company. The firm develops human antibody therapeutics for the treatment of cancer and other diseases. Its product pipeline include daratumumab, marketed as DARZALEX for the treatment of certain indications of multiple myeloma; teprotumumab-trbw marketed as TEPEZZA for the treatment of thyroid eye disease; and ofatumumab, marketed as Arzerra for the treatment of certain indications of chronic lymphocytic leukemia. The company was founded by Donald Lee Drakeman, Florian Schonharting, and Jan G. J. van de Winkel in 1999 and is headquartered in Copenhagen, Denmark. Read Less",Drugs & Biotechnology,1998,Copenhagen,Denmark,,"1,660",$2.1B,$4.3B,$780.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan G. J. van de Winkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prysmian,,"Milan, Italy",,"Prysmian SpA engages in the development, design, manufacturing, supply, and installation of cables. It operates through the following segments: Energy, Projects, and Telecom. The Energy segment involves in the provision of trade and installers, power distribution and overhead lines, specialties and OEM, elevators, automotive, network components, core oil and gas and DHT, and sales of residual products. The Projects segment comprises of high voltage, submarine power, submarine telecom, and offshore specialties which focus on the projects and their execution, as well as on product customization. The Telecom segment offers cable systems and connectivity products used in telecommunication networks such as optical fibre, optical cables, connectivity components and accessories, optical ground wire, and copper cables. The company was founded on May 12, 2005 and is headquartered in Milan, Italy. Read Less",Capital Goods,2005,Milan,Italy,,"30,185",$16.9B,$13.6B,$529.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valerio Battista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salzgitter,,"Salzgitter, Germany",,"Salzgitter AG engages in the manufacture of steel and technology products. It operates through the following business units: Strip Steel, Plate/Section Steel, Mannesmann, Trading, and Technology. The Strip Steel unit produces, processes and sells strip steel in a wide variety of metallurgic compositions and dimensions. The Plate/Section Steel unit manufactures plates. The Mannesmann unit offers a wide range of steel tubes and pipes. The Trading unit handles sales network and global trading companies and sales offices. The Technology unit focuses on machinery and plants for the filling and packaging of beverages. The company was founded on September 6, 1858 and is headquartered in Salzgitter, Germany. Read Less",Materials,1858,Salzgitter,Germany,,"24,569",$13.2B,$11.9B,$1.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnar Groebler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FleetCor Technologies ,NYSE: FLT,"Atlanta, Georgia",$274.30,"FleetCor Technologies, Inc. engages in the provision of business payments solutions. It operates through North America and International geographical segments. The firm's solutions include fuel, payables, tools, and lodging. The company was founded by W. Boatner Reily, III and Ronald F. Clarke in 1985 and is headquartered in Norcross, GA.",Business Services & Supplies,1985,"Atlanta, Georgia",United States,,"9,900",$3.5B,$14.6B,$951.2M,272.91,274.26,272.02 x 275.17,"416,195",185.03 x 298.48,$19.81B,20.78,14.13,13.20,N/A,N/A,N/A,5.34,6.02,N/A,15.17,12.61,6.69,78.18%,44.09%,26.13%,7.08%,33.72%,$3.76B,51.37,9.65%,$1.99B,16.80%,6.28,$1.39B,19.28,$6.72B,204.82%,1.04,Outperform,314.12,255.00 to 343.00,19.27 to 19.67,19.41,$4.08B,$4.04B to $4.1B,Ronald F. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U-Haul Holding, UHAL,"Reno, Nevada",$66.43,"AMERCO engages in the provision of insurance, moving and storage operation businesses. It operates through the following business segments: Moving and Storage; Property and Casualty Insurance, and Life Insurance. The Moving and Storage segment consists of the rental of trucks, trailers, portable moving and storage units, specialty rental items, and self-storage spaces. The Property and Casualty Insurance segment involves in providing loss adjusting and claims handling for U-Haul through regional offices. The Life Insurance segment provides life and health insurance products primarily to the senior market through the direct writing and reinsuring of life insurance, medicare supplement, and annuity policies. The company was founded by Anna Mary Carty Shoen and Leonard Samuel Shoen in 1945 and is headquartered in Reno, NV. Read Less",Business Services & Supplies,1945,"Reno, Nevada",United States,,"32,200",$5.9B,$18.1B,$964.9M,66.56,66.21,66.12 x 67.09,"83,958",48.07 x 73.03,$12.8B,19.57,15.39,3.39,N/A,1.50%,"Sep 2, 2022",2.28,1.80,1.80,15.31,8.85,3.03,30.46%,19.81%,11.64%,3.81%,9.86%,$4.82B,29.16,-2.66%,$1.93B,-13.03%,-31.66,$1.81B,9.21,$6.5B,91.73%,1.78,Hold,64.10,64.10 to 64.10,4.32 to 4.32,4.32,N/A,N/A to N/A,Edward Joe Shoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Longyuan Power,,"Beijing, China",,"China Longyuan Power Group Corp. Ltd. engages in the design, development, construction, management and operation of wind farms. It operates through the following segments: Wind Power, Coal Power, and All Other. The Wind Power segment constructs, manages and operates wind power plants and generates electric power for sale to external power grid companies. The Coal Power segment constructs, manages and operates coal power plants and generates electric power for sale to external power grid companies and coal trading business. The All Other segment comprised of manufacturing and sale of power equipment, and provision of consulting services, and maintenance and training services to wind power plants, and other renewable power generation. The company was founded in January 1993 and is headquartered in Beijing, China. Read Less",Utilities,1993,Beijing,China,,"8,842",$5.7B,$33.1B,$771.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jian Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Holdings,NYSE: CCK,"Philadelphia, Pennsylvania",$75.25,"Crown Holdings, Inc. engages in the design, manufacture, and sale of packaging products and equipment for consumer goods. Its products include Beverage Cans and Glass Bottles, Food Cans and Closures, Transit Packaging and Aerosol Cans. It operates through the following segments: Americas Beverage, European Beverage, European Food, Asia-Pacific, Transit Packaging, and Corporate and Unallocated Items. The Americas Beverage segment manufactures aluminum beverage cans and ends, glass bottles, steel crowns and aluminum caps. The European Beverage segment refers to the manufacture of steel and aluminum beverage cans and ends in Europe, the Middle East, and North Africa. The European Food segment focuses on the manufacture of steel and aluminum food cans and ends, and metal vacuum closures, in Europe, Africa and the Middle East. The Asia-Pacific segment comprises beverage can operations in Cambodia, China, Indonesia, Malaysia, Myanmar, Singapore, Thailand and Vietnam and also includes non-beverage can operations, primarily food cans and specialty packaging. The Transit Packaging includes industrial and protective solutions and equipment and tools businesses. The company was founded by William Painter in 1892 and is headquartered in Philadelphia, PA. Read Less","Engineering, Manufacturing",1892,"Philadelphia, Pennsylvania",United States,,"26,000",$12.8B,$14.4B,$613M,73.14,73.03,73.03 x 75.27,"1,531,891",69.61 x 96.35,$9.01B,20.01,12.58,3.76,0.96,1.31%,"Nov 7, 2023",0.75,3.74,N/A,11.59,8.46,1.30,20.52%,11.11%,3.75%,5.68%,22.79%,$12.01B,100.58,-7.21%,$1.83B,4.98%,-37.23,$1.31B,10.94,$7.47B,260.96%,1.15,Outperform,93.73,78.00 to 112.00,5.75 to 6.27,5.98,$12.09B,$11.85B to $12.3B,Timothy Joseph Donahue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masco,NYSE: MAS,"Livonia, Michigan",$73.59,"Masco Corp. engages in the design, manufacture, marketing and distribution of branded home improvement and building products. It operates through the following business segments: Plumbing Products and Decorative Architectural Products. The Plumbing Products segment includes faucets; plumbing fittings and valves; showerheads and hand showers; bathtubs and shower enclosures; toilets; spas, and exercise pools. The Decorative Architectural Products segment offers paints and coating products; and cabinet, door, window, and other hardware. The company was founded by Alex Manoogian in 1929 and is headquartered in Livonia, MI. Read Less",Construction,1929,"Livonia, Michigan",United States,,"19,000",$8.5B,$5.4B,$815M,73.68,73.77,73.14 x 74.04,"1,247,165",46.69 x 76.43,$16.17B,18.31,17.82,4.02,1.15,1.57%,"Feb 21, 2024",2.08,N/A,N/A,13.92,11.94,2.39,35.76%,17.17%,11.40%,16.21%,N/A,$7.97B,35.41,-8.21%,$1.52B,1.81%,10.74,$634M,2.87,$3.25B,2801.72%,1.68,Outperform,78.96,64.92 to 89.00,4.00 to 4.25,4.13,$8.03B,$7.98B to $8.11B,Keith J. Allman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impala Platinum Holdings,,"Northlands, South Africa",,"Impala Platinum Holdings Ltd. is engaged in the business of mining, refining and marketing of platinum group metals, includes platinum, palladium, rhodium, osmium, ruthenium and iridium, as well as nickel, copper and cobalt. It operates through the following segments: Mining, Refining Services and Other. The company has extensive operations on the two platinum group metals deposits in the world, namely the Bushveld Complex in South Africa and the Great Dyke in Zimbabwe. Impala Platinum Holdings is headquartered in Northlands, South Africa.",Materials,1967,Northlands,South Africa,,"66,196",$7.4B,$9.7B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolaas Johannes Muller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Beverage,,"Bangkok, Thailand",,"Thai Beverage Public Co., Ltd. is a holding company, which engages in the production and distribution of beverage. It operates through the following segments: Spirits, Beer, Non-alcoholic Beverage, and Food. The Spirits segment produces and sell spirits products. The Beer segment manufactures branded beer products. The Non-Alcoholic Beverages segment offers branded water, soda, ready-to-drink coffee, energy drink, green tea, and fruit flavoured drinks. The Food segment involves in the operation of Japanese restaurants, and allocation of foods and beverages. Its brands include Ruang Khao, SangSom, Mekhong, Hong Thong, Blend 285, Oishi RTD green tea, and Chang Beer.The company was founded on October 29, 2003 and is headquartered in Bangkok, Thailand. Read Less",Retail and Wholesale,2003,Bangkok,Thailand,,"43,422",$7.9B,$13.5B,$879.2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thapana Sirivadhanabhakdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanlam,,"Bellville, South Africa",,"Sanlam Ltd. is a diversified financial services group which provides financial solutions to individual and institutional clients. Its solutions include individual, group and short-term insurance, personal financial services such as estate planning, trusts, wills, personal loans, health management, savings and linked products. The company operates through five clusters: Sanlam Personal Finance, Sanlam Emerging Markets, Sanlam Investments, Santam and Corporate & Other. It also offers business fitness assessment and insurance investment management, asset management, employee benefits, risk management, and capital market activities. Sanlam was founded on June 8, 1918 and is headquartered in Bellville, South Africa. Read Less",Insurance,1918,Bellville,South Africa,,"25,661",$5.5B,$58.2B,$766.5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Brendan Hanratty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constellation Software,,"Toronto, Canada",,"Constellation Software, Inc. is a holding company. The firm acquires, manages and builds vertical market software businesses. It operates through the following segments: Public and Private Sector. The Public Sector segment focuses on government and government related customers. The Private Sector segment includes business units focused on commercial customers. The company was founded by Mark Henri Leonard and James D. Foy on August 23, 1995 and is headquartered in Toronto, Canada.",IT Software & Services,1995,Toronto,Canada,,"25,000",$6.6B,$7.9B,$513.9M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Leonard Leonard,,,,,,,,,,,,
Avery Dennison,NYSE: AVY,"Mentor, Ohio",$210.93,"Avery Dennison Corp. engages in the provision of labeling and packaging materials and solutions. It operates through the following segments: Label & Graphic Materials, Retail Branding & Information Solutions and Industrial & Healthcare Materials. The Label and Graphic Materials Segment manufactures and sells Fasson, JAC, and Avery Dennison-brand pressure-sensitive label and packaging materials, Avery Dennison and Mactac brand graphics, and Avery Dennison brand reflective products. The Retail Branding and Information Solutions segment designs, manufactures, and sells a variety of branding and information solutions to retailers, brand owners, apparel manufacturers, distributors and industrial customers. The Industrial and Healthcare Materials Segment manufactures and sells Fasson-brand and Avery Dennison-brand tapes and fasteners, Vancive -brand medical pressure sensitive adhesive based materials and products, and performance polymers. The company was founded by R. Stanton Avery in 1935 and is headquartered in Glendale, CA. Read Less","Engineering, Manufacturing",1935,"Mentor, Ohio",United States,,"36,000",$8.8B,$8.2B,$680.1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitchell R. Butier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang Huayou Cobalt,,"Jiaxing, China",,"Zhejiang Huayou Cobalt Co., Ltd. engages in the manufacture, processing, and sale of lithium new energy materials and cobalt new materials, as well as in the mining, selection, and metallurgy of non-ferrous metals. It operates through the following business segments: Cobalt products, Copper products, Nickel products, Ternary materials, and Other. Its products include cobalt products such as tri-cobalt oxide and cobalt sulfate, ternary precursors such as ternary cathode material precursors, copper products such as blister copper and electric copper, and nickel products such as electrolytic nickel. The company was founded by Xue Hua Chen and Wei Tong Xie on May 22, 2002 and is headquartered in Jiaxing, China. Read Less",Materials,2002,Jiaxing,China,,"29,757",$10B,$17.4B,$543.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Liang Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellenic Petroleum,,"Athens, Greece",,"Hellenic Petroleum SA engages in the energy sector. It also engages in fuel marketing, power generation & natural gas, renewable energy sources, refining, supplying and trading. The company was founded on July 19, 1975 and is headquartered in Athens, Greece.",Oil & Gas Operations,1971,Athens,Greece,,"3,519",$15.2B,$9.1B,$934.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Nikolaos Shiamishis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Liuhe,,"Chengdu, China",,"New Hope Liuhe Co., Ltd. engages in the production of feeds, swine and poultry farming, and slaughtering and meet processing. It also offers financial investment services. The company was founded on March 4, 1998 and is headquartered in Sichuan, China.","Food, Drink & Tobacco",1998,Chengdu,China,,"77,328",$21.2B,$19.6B,-$39M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ming Gui Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shengjing Bank,,"Shenyang, China",,"Shengjing Bank Co., Ltd. engages in commercial banking and related financial services. It operates through the following segments: Corporate Banking, Retail Banking, Treasury Business, and Others. The Corporate Banking segment represents the provision of a range of financial products and services to corporations, government agencies and financial institutions. These products and services include corporate loans and advances, trade financing and deposit taking activities, agency services, and remittance and settlement services. The Retail Banking segment provides a range of financial products and services to retail customers. These products and services include personal loans and deposit taking activities, bank card business, personal wealth management services, remittance and settlement services, and collection and payment agency services. The Treasury business covers the group's treasury business including inter-bank money market transactions, repurchases transactions and investments. It also trades in debt securities. The Others segment represents equity investment and related income an any other business which cannot for a single reportable segment. The company was founded on September 10, 1997 and is headquartered in Shenyang, China. Read Less",Banking,1997,Shenyang,China,,"8,533",$7B,$155.7B,$150.7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhang Qiyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asbury Automotive Group,NYSE: ABG,"Duluth, Georgia",$208.79,"Asbury Automotive Group, Inc. operates as a holding company, which engages in the automotive dealership. Its services include oil change, car brakes, changing tires, check engine light, battery, and wheel alignment. The company was founded in 1995 and is headquartered in Duluth, GA.",Retailing,1995,"Duluth, Georgia",United States,,"13,000",$15.1B,$8.2B,$941M,208.18,207.50,205.99 x 211.00,"150,937",178.40 x 256.39,$4.3B,7.26,6.59,28.74,N/A,N/A,"Jul 30, 2008",0.29,1.32,N/A,7.23,6.80,0.53,18.62%,7.28%,4.07%,N/A,19.59%,$14.13B,708.26,-4.09%,$1.15B,-14.60%,-35.58,$81.3M,2.02,$3.58B,110.25%,N/A,Outperform,259.89,165.00 to 340.00,30.25 to 32.96,31.70,$17.77B,$17.33B to $18.11B,,David W. Hult,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFA,,"San Pedro Garza García, Mexico",,"Alfa SAB de CV is a holding company, which produces, markets and distributes food through recognized brands in Mexico, the United States, Europe and Latin America. It operates through the following segments: Alpek, Sigma, Nemak, Alestra, Newpek and Others. The Alpek segment operates in the petrochemical and synthetic fibers industry. The Sigma segment operates in the refrigerated food sector. The Nemak segment operates in the automotive industry. The Alestra segment operates in the telecommunications sector. The Newpek segment engages in exploration and exploitation of natural gas and oil fields. The Others segment includes all other companies operating in business services and others which are non-reportable. The company was founded by Roberto Garza Sada on June 9, 1974 and is headquartered in San Pedro Garza García, Mexico. Read Less",Chemicals,1974,San Pedro Garza García,Mexico,,"54,163",$18.3B,$14.4B,$729M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Álvaro Fernández Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankinter,,"Madrid, Spain",,"Bankinter SA engages in the provision of banking and financial services. It operates through the following segments: Commercial Banking, Corporate and SME Banking, Consumer Finance, Insurance Services and Other Business. The company was founded in June 1965 and is headquartered in Mardrid, Spain.",Banking,1965,Madrid,Spain,,"5,798",$2.8B,$114.7B,$588.8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,María Dolores Dancausa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNK Financial Group,,"Busan, South Korea",,"BNK Financial Group, Inc. engages in the management of its subsidiaries. It operates services through subsidiaries' following businesses: Bank, Financial Investment, Specialized Credit Finance and Mutual Savings Bank. The Bank business offers services such as internet banking, financial products, asset management services, apartment application deposit, fund products, and variable annuity. The Financial Investment business provides securities services, contract based and company tailored products, service dependent on repurchasability, and domestic and overseas futures. The Specialized Credit Finance business engages in the personal loan and credit loan for individual business men, leasing and installment financing, and house and corporate loan services. The Mutual Savings Bank business offers financial services such as loans, currency exchange, and internet and telephone banking. The company was founded on March 15, 2011 and is headquartered in Busan, South Korea. Read Less",Banking and Financial Services,2011,Busan,South Korea,,"7,862",$5.5B,$108.6B,$595.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ji-Wan Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globe Life,NYSE: GL,"McKinney, Texas",$126.59,"Globe Life, Inc. is a holding company, which engages in the provision of individual life and supplemental health insurance products and services. It operates through the following segments: Life Insurance, Supplemental Health Insurance, Annuities, and Investments. The Life Insurance segment includes traditional and interest-sensitive whole life insurance as well as term life insurances. The Supplement Health Insurance segment provides generally guaranteed-renewable and include medicare supplement, critical illness, accident, and limited-benefit supplemental hospital, and surgical coverage. The Annuities segment refers to fixed-benefit contracts. The Investments segment covers the investment portfolio. The company was founded on November 19, 1979 and is headquartered in McKinney, TX. Read Less",insurance,1951,"McKinney, Texas",United States,,"3,222",$5.2B,$25.5B,$799M,125.85,126.25,125.56 x 126.62,"405,012",102.23 x 127.36,$11.91B,12.57,10.95,10.07,0.90,0.72%,"Jan 4, 2024",2.21,2.58,2.88,10.86,10.68,2.58,30.19%,23.80%,17.82%,N/A,20.40%,$5.51B,57.29,4.46%,$1.32B,29.15%,34.81,$169.48M,0.91,$2.25B,48.58%,N/A,Outperform,139.11,125.00 to 160.00,11.36 to 11.70,11.56,$5.82B,$5.81B to $5.83B,,J. Matthew Darden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antero Resources,NYSE: AR,"Denver, Colorado",$25.63,"Antero Resources Corp. is an independent oil and natural gas company. It engages in the exploration, development, and production of natural gas, NGLs, and oil. The firm focuses on marketing and utilization of excess firm transportation capacity, and equity method investment in Antero Midstream Corporation. The company was founded by Paul M. Rady and Glen C. Warren, Jr. in June 2002 and is headquartered in Denver, CO.",Oil & Gas Operations,2002,"Denver, Colorado",United States,,586,$8.2B,$13.9B,$2.3B,23.41,24.85,24.82 x 26.49,"13,923,243",19.91 x 30.90,$7.78B,32.67,54.01,0.78,N/A,N/A,N/A,1.71,1.11,1.11,21.28,4.03,2.79,64.74%,11.27%,5.42%,2.28%,4.80%,$4.48B,14.96,-48.55%,$1.25B,-63.61%,-86.42,N/A,N/A,$4.51B,62.46%,0.33,Outperform,27.83,21.00 to 37.00,-0.34 to 1.31,0.47,$4.43B,$3.96B to $4.76B,Paul M. Rady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentsu,,"Tokyo, Japan",,"Dentsu Group, Inc. engages in the advertising and communication-related solution services. It operates through Japan and International segments. The Japan segment offers marketing design, creative sphere, digital and social media content, communication design, promotions, data solutions, and social solutions. It also offers consulting services, software products, comprehensive network services, real estate management and sale, and non-life insurance agencies. The International segment provides global network and multi-market brands. The company was founded by Hoshiro Mitsunaga on July 1, 1901 and is headquartered in Tokyo, Japan. Read Less",Media,2001,Tokyo,Japan,,"69,066",$9.5B,$28.4B,$455M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshi Igarashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Oil,,"Bangkok, Thailand",,"Thai Oil Public Co. Ltd. is engaged in the production of petroleum products for domestic distribution. It is also involved in petroleum refining, pipeline transportation, and carbon black and paraxylene production. The company operates through the following segments: Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Marine Transportation Services, Solvent, Ethanol and Other. Thai Oil Public was founded in 1961 and is headquartered in Bangkok, Thailand.",Oil & Gas Operations,1961,Bangkok,Thailand,,,$15.1B,$12.8B,$931.4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bandhit Thamprajamchit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toll Brothers,NYSE: TOL,"Fort Washington, Pennsylvania",$107.64,"Toll Brothers, Inc. engages in the design, building, marketing, and arranging of financing for detached and attached homes in residential communities. It operates through the following segments: Traditional Home Building and City Living. The Traditional Home Building segment builds and sells homes for detached and attached homes in luxury residential communities in affluent suburban markets and and cater to move-up, empty-nester, active-adult, age-qualified, and second-home buyers. The City Living segment builds and sells homes in urban infill markets through Toll Brothers City Living. The company was founded by Robert I. Toll and Bruce E. Toll in May 1986 and is headquartered in Horsham, PA. Read Less",Construction,1986,"Fort Washington, Pennsylvania",United States,,"5,200",$10.3B,$12B,$1.3B,103.55,110.89,106.95 x 111.66,"3,907,404",56.36 x 111.66,$11.23B,8.71,8.23,12.97,0.84,0.81%,"Jan 11, 2024",1.18,1.64,1.64,7.20,6.81,1.32,27.33%,18.20%,13.97%,9.43%,21.43%,$10.16B,93.71,-0.99%,$1.93B,15.16%,12.95,$754.79M,7.24,$2.72B,38.71%,4.89,Outperform,111.98,94.00 to 130.00,12.06 to 14.67,13.08,$9.83B,$9.09B to $10.65B,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas C. Yearley, Jr.",,,,
Adaro Energy,,"Tabalong, Indonesia",,"PT Adaro Energy Tbk engages in the integrated coal mining, logistics, and power businesses through its subsidiaries. It operates through the following segments: Coal Mining and Trading, Mining Services, Logistics, and Others. The Coal Mining and Trading segment produces and distributes thermal coal. The Mining Services segment provides exploration, drilling, transportation, logistical support, and overburden mining removal services. The Logistics and Others segment focuses on coal terminal operations, barging and ship loading, channel dredging, and maintenance contracting activities. The company was founded on July 28, 2004 and is headquartered in Jakarta, Indonesia. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",1982,Tabalong,Indonesia,,"10,000",$8.1B,$10.8B,$2.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garibaldi Thohir MBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
