company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
Coinbase,COIN,Diversified Financials,United States,4510.0,2.8,139.3,-2.3,Financial Services,727.7778,165.82278,0.36,,,21.689676,10.095561,0.85625,0.03648,0.032420002,-0.00090000004,0.01617,12.411,0.494,21.213,48.676,1.029,63.476051968,-0.074535,5.13935104,3.057659904,[],"Cryptocurrency Exchange, Cryptocurrency Custody, Blockchain Services, Crypto Investing Products, New Crypto Solutions"
Indorama Ventures,IVL.BK,Chemicals,Thailand,,18.7,18.0,0.8627,Basic Materials,,10.427351,-2.06,0.7,0.0287,0.25169218,0.91660404,0.1254,-0.016210001,-0.01984,0.0098,-0.057600003,96.944,-0.105,3.519,142.837,0.94,3.9728556032,0.975269142528,0.572949753856,7.376046424064,['Polyethylene Teraphthalate; Fiber and Yarns; and Feedstock'],"Integrated PET Resin, Polyester Fibers, Wool, Recyclables, New Sustainable Materials"
Ferrovial,FER.MC,"Construction, Oil & Gas Operations, Mining and Chemicals",Netherlands,24191.0,7.9,28.1,0.1955,Industrials,62.199997,155.5,0.6,1.09,0.0297,3.2059212,7.293336,0.86739,0.10079,0.054029997,0.01569,0.100389995,11.691,0.139,6.465,197.976,1.21,29.4788284416,1.0767600000000002,5.13864013824,12.57012006912,"['Construction', 'Toll Roads', 'Airports', 'Services', 'and Other']","Construction, Toll Roads, Airports, Services, New Mobility Solutions"
Foshan Haitian Flavouring and Food,603288.SS,"Food, Drink & Tobacco",China,7313.0,3.7,5.0,0.8874,Consumer Defensive,38.4717,33.15447,1.06,0.7,0.0172,9.010792,8.251719,0.35116002,0.23193,0.23283,0.11153,0.22015,4.538,0.022,4.478,2.325,4.366,33.333905375232,1.014400138752,3.660127156224,0.095634596736,[],"Condiments, Food Products, Beverages, E-Commerce, New Food and Beverage Offerings"
American Equity Investment,AEL,Insurance,United States,840.0,3.8,62.3,1.2,Financial Services,27.296118,7.9758863,2.06,,,1.5793636,1.4756206,0.62606996,-0.30933002,0.07447,0.00265,0.07822,35.569,0.614,123.08,28.367,1.747,4.464662016,0.333308,9.772585984,0.864550016,[],"Fixed and Fixed Indexed Annuities, Investment Management, Asset Management, New Retirement Solutions"
VakifBank,VAKBN.IS,Banking,Turkey,17825.0,8.5,77.5,0.6075,Financial Services,3.8607955,1.4612904,3.52,,,1.44317,0.76888263,,0.41666,0.33902,0.01492,0.23546,10.38,-0.106,51.688,,,7.546412138496,,28.701939990528,30.344611627008,[],"Retail Banking, Corporate Banking, International Banking, Investment Banking, Digital Banking Services"
Hua Nan Financial,2880.TW,Banking,Taiwan,10860.0,2.7,118.1,0.5806,Financial Services,14.556962,14.02439,1.58,0.59,0.0257,5.4823017,1.509979,,0.44949,0.37770998,0.00577,0.11012,4.195,0.176,22.593,,,10.04102746112,,9.863501447168,16.233836576768,[],"Commercial Banking, Securities, Investment Trust, Venture Capital, New Financial Services"
Tohoku Electric Power,9506.T,Utilities,Japan,24717.0,22.2,39.2,-0.9413,Utilities,1.9592764,5.933576,598.18,20.0,0.0171,0.19993117,0.78124684,0.111169994,0.097049996,0.102060005,0.03908,0.44076002,5861.466,-0.157,909.418,400.113,1.163,5.332727988224,4.8299956862976,4.1386527064064005,30.2307288285184,"['Electric Power', 'Construction', 'and Others']","Electric Power Generation, Transmission and Distribution, Renewable Energy, Energy Services, New Energy Solutions"
Digital Realty Trust,DLR,Diversified Financials,United States,3412.0,4.9,42.0,0.3733,Real Estate,46.67,111.11904,3.0,4.88,0.0346,8.192582,2.37293,0.52305,0.111719996,0.17419,0.010190001,0.04679,18.243,0.112,5.232,91.086,0.972,44.627206144,2.386114048,1.634033024,19.124754432,[],"Data Centers, Colocation, Interconnection, Cloud Services, New Digital Infrastructure"
Piraeus Financial Holdings,TPEIR.AT,Banking,Greece,8658.0,2.7,80.7,0.9984,Financial Services,6.3015876,5.513889,0.63,,,2.1264153,0.19547021,,0.64179003,0.33863,0.01033,0.11281,1.86,-0.104,32.286,,,5.34402164736,,12.52908048384,8.35703986176,"['Retail Banking', 'Corporate Banking', 'Piraeus Financial Markets (PFM)', 'Other and Piraeus Legacy Unit (PLU)']","Retail Banking, Corporate Banking, Investment Banking, Asset Management, Digital Financial Services"
Swatch Group,UHR.SW,Consumer Durables,Switzerland,32061.0,7.9,15.0,0.845,Consumer Cyclical,10.76598,11.841953,18.93,6.5,0.0326,1.323677,0.8664561,0.85079,0.13052,0.11017,0.05294,0.07322,152.115,-0.005,39.784,0.628,8.608,10.75439868928,1.62842993408,2.12489006592,0.07931,[],"Watches, Jewelry, Electronic Systems, Sports Timing, New Luxury Offerings"
Scor,SCR.PA,Insurance,France,3522.0,17.0,53.0,-0.3163,Financial Services,6.585903,5.98,4.54,1.8,0.0586,0.3814097,1.1429226,0.13717,0.112440005,0.06043,0.01878,0.11465,75.053,-0.256,18.67,47.185,4.214,5.534590464,1.48824,3.61800013824,3.50352,['SCOR Global P&C and SCOR Global Life'],"Reinsurance, Insurance, Asset Management, Risk Solutions, New Risk Management Services"
Banco de Sabadell,SAB.MC,Banking,Spain,18895.0,7.9,270.0,0.4997,Financial Services,6.228261,11.019231,0.23,0.06,0.0419,1.5525095,0.55913347,,0.35599998,0.26722,0.00548,0.09891,0.923,0.128,1.11,,,8.35904268288,,6.480055296,44.98880790528,"['Business Banking in Spain', 'Asset Transformation', 'Banking Business in the United Kingdom', 'and Banking Business in America']","Retail Banking, Corporate Banking, Private Banking, Asset Management, Digital Banking"
Banco BPM,BAMI.MI,Banking,Italy,22000.0,5.4,202.4,0.7419,Financial Services,7.1261907,7.0423527,0.84,0.56,0.0935,1.88636,0.6630483,,0.43273,0.26435,0.0064499998,0.08099,,0.741,,,,9.74464376832,,27.74464413696,44.57121693696,['Corporate and Large Corporate'],"Retail Banking, Corporate Banking, Private Banking, Asset Management, Digital Banking Services"
Amadeus IT Group ,AMS.MC,IT Software & Services,Spain,16000.0,4.7,12.7,1.1,Consumer Cyclical,24.041151,24.041151,2.43,1.18,0.0207,4.6765633,5.740959,0.43698,0.21902001,0.2054,0.07895,0.24645,12.161,0.159,2.417,73.809,0.962,27.48180455424,2.18386796544,1.1502,3.57317996544,[],"Travel Technology, Airline IT Solutions, Hospitality IT Solutions, Airport IT Solutions, New Travel Tech Offerings"
Bank Of Guiyang,601997.SS,Banking,China,6628.0,4.5,96.7,0.8932,Financial Services,3.4458597,3.3190184,1.57,0.3,0.0555,1.8387678,0.3595401,,0.62490004,0.55572,0.00935,0.1025,2.952,-0.067,20.223,,,2.907665983488,,10.86921744384,25.223514537984,[],"Retail Banking, Corporate Banking, Investment Banking, Wealth Management, Digital Banking"
Expedia Group,EXPE,Travel & Leisure,United States,16500.0,12.1,25.0,0.329,Consumer Cyclical,25.637217,8.810723,5.32,,,1.4478012,12.185294,0.87748003,0.0762,0.062080003,0.04244,0.21124001,88.565,0.103,31.206,238.083,0.783,18.588319744,1.632,4.252999936,6.632999936,"['Core Online Travel Agency(OTA)', 'Trivago', 'Vrbo', 'and Egencia']","Online Travel Services, Vacation Rentals, Corporate Travel, Advertising and Media, New Travel Platforms"
WESCO International,WCC,Trading Companies,United States,20000.0,22.0,15.0,0.8763,Industrials,12.542836,10.181655,13.54,1.54,0.0091,0.3865702,1.7160438,0.21638,0.05962,0.0342,0.061929997,0.1616,438.067,-0.015,10.286,121.626,2.477,8.65345024,1.6232,0.5241,6.12009984,[],"Electrical and Industrial Distribution, Supply Chain Services, Security Solutions, New Digital Solutions"
Campbell Soup,CPB,"Food, Drink & Tobacco",United States,14700.0,9.2,12.0,0.813,Consumer Defensive,16.960785,13.390093,2.55,1.48,0.0341,1.3906757,3.3485599,0.31430998,0.15106,0.08262,0.07062,0.20558001,31.059,-0.012,0.567,125.11,1.007,12.892954624,1.742,0.169,4.817999872,"['Meals and Beverages', 'International Biscuits and Snacks', 'and Campbell Fresh']","Soup, Simple Meals, Beverages, Snacks, New Food and Beverage Offerings"
Wolters Kluwer,WKL.AS,Professional Services,Netherlands,20900.0,5.7,10.2,1.1,Industrials,35.74572,27.378275,4.09,2.08,0.014199999,6.2567,20.104511,0.71777,0.24204001,0.18034,0.08916,0.49618,22.801,0.002,4.719,214.351,0.727,37.73240672256,1.836,1.22580006912,4.04891993088,"['Health; Tax and Accounting; Governance', 'Risk and Compliance; and Legal and Regulatory']","Professional Information Solutions, Software Solutions, Services, New Digital Information Products"
First Horizon,FHN,Banking and Financial Services,United States,7500.0,3.8,80.7,0.957,Financial Services,10.0,9.6855345,1.54,0.6,0.039,2.865908,1.0153623,,0.44459,0.3008,0.011410001,0.1027,5.438,-0.105,9.034,,,8.5461376,,5.048,4.743000064,"['Regional Banking', 'Fixed Income', 'Corporate', 'and Non-strategic']","Commercial Banking, Retail Banking, Wealth Management, Fixed Income, New Financial Solutions"
Xiamen International Trade Group,600956.SS,Transportation,China,6936.0,78.1,21.1,0.4543999999999999,Utilities,16.469387,13.449999,0.49,0.19,0.0239,1.2828635,1.6770574,0.26856002,0.1167,0.11457,0.03147,0.10177,4.424,0.09,0.991,160.777,0.724,3.51452623872,0.90247143168,0.60979438464,6.105946140672,[],"Import and Export Trade, Logistics, Industrial Investment, Real Estate, New Trade Services"
Popular,BPOP,Banking,United States,8813.0,3.3,67.7,1.0,Financial Services,11.530585,7.9990773,7.52,2.48,0.0291,2.4343524,1.2208205,,0.16814,0.21034001,0.00782,0.11717,35.889,-0.032,102.846,,,6.26514432,,7.431031808,1.242016,[],"Retail Banking, Commercial Banking, Wealth Management, Auto and Lease Financing, Digital Banking Solutions"
Chongqing Zhifei Biological Products,300122.SZ,Drugs & Biotechnology,China,5735.0,5.9,6.3,1.1,Healthcare,14.031884,9.981443,3.45,0.5,0.010299999,2.337121,3.8771424,0.29392,0.219,0.17021999,0.14454001,0.32377997,20.714,0.264,1.165,15.571,2.257,17.079047774208,1.49019032064,0.41097211008,0.60125173248,[],"Vaccines, Biopharmaceuticals, Diagnostics, Animal Health Products, New Biomedical Solutions"
Zions Bancorp,ZION,Banking and Financial Services,United States,9989.0,3.7,88.6,0.9,Financial Services,9.565517,8.967672,4.35,1.64,0.0397,2.058865,1.1739976,,0.35431,0.22795999,0.00769,0.1285,20.19,-0.119,24.36,,,6.141594624,,3.608999936,5.452000256,"['Zions Bank', 'Amegy Bank', 'California Bank & Trust', 'National Bank of Arizona', 'Nevada State Bank', 'Vectra Bank Colorado', 'and The Commerce Bank of Washington']","Commercial Banking, Retail Banking, Wealth Management, Capital Markets, Digital Banking"
Zhongyuan Bank,601066.SS,Banking,China,19610.0,7.2,190.9,0.5458999999999999,Financial Services,30.746666,18.596773,0.75,0.27,0.0117,6.048316,2.5005422,0.92144996,0.335,0.27306998,0.01365,0.07151,3.099,-0.408,42.119,274.228,1.5,22.01915154432,,48.025493569536,38.895842721792,"['Corporate Banking', 'Retail Banking', 'Financial Markets Business and Others']","Retail Banking, Corporate Banking, Investment Banking, Wealth Management, Digital Banking Services"
JM Smucker,SJM,"Food, Soft Beverages, Alcohol & Tobacco",United States,6700.0,8.3,16.0,0.7102,Consumer Defensive,,12.079922,-0.81,4.24,0.0344,1.6032864,1.740657,0.36501998,0.17768998,-0.0124,0.04829,-0.01281,78.902,0.006,0.338,115.61,0.78,13.159453696,1.799000064,0.0359,8.740200448,['U'],"Food and Beverage Products, Pet Foods, Coffee, Snacks, New Consumer Offerings"
Pegatron,4938.TW,Technology Hardware & Equipment,Taiwan,,44.2,20.7,0.5064,Technology,17.863249,14.822695,5.85,4.0,0.0383,0.22152664,1.4746349,0.03669,0.01303,0.0125,0.01545,0.079840004,471.542,-0.044,43.339,44.358,1.489,8.909151535104,0.911853748224,3.695069626368,3.145765224448,[],"Electronics Manufacturing Services, Computing Products, Communication Products, Consumer Electronics, New Technology Solutions"
Lumen Technologies,LUMN,"Telecommunications Services, Cable Supplier",United States,24000.0,17.5,45.6,-1.5,Communication Services,,-24.428572,-10.48,,,0.11861577,4.140436,0.50924,-0.01933,-0.70742995,0.01799,-1.90863,14.808,-0.074,2.212,5106.954,1.351,1.726689664,4.131000064,2.233999872,21.296001024,['International and Global Accounts Management; Enterprise; Small and Medium Business; Wholesale and Consumer'],"Broadband Connectivity, IP Services, Cloud and IT Solutions, Voice and Collaboration, New Network Solutions"
Keysight Technologies,KEYS,"Semiconductors, Electronics, Electrical Engineering",United States,5001.0,5.6,8.4,1.2,Technology,28.352942,20.928087,5.44,,,5.0399694,5.5890136,0.64807,0.17792,0.18139,0.0911,0.21017,30.138,-0.088,9.997,42.724,1.926,26.923517952,1.503000064,1.744999936,2.058,"['Communications Solutions Group', 'Electronic Industrial Solutions Group', 'and Ixia Solutions Group']","Electronic Design and Test, Software and Security, Wireless Communications, Modular Solutions, New Technology Offerings"
Ford Otosan,FROTO.IS,Consumer Durables,Turkey,20911.0,11.8,6.0,1.2,Consumer Cyclical,8.632527,8.783292,139.82,49.71,0.0438,1.0282657,5.801434,0.13413,0.06616,0.119090006,0.11796,0.79027003,1173.821,-0.122,43.386,103.987,1.094,23.718709690368,2.351740977152,0.852572127232,4.251420852224,[],"Automotive Manufacturing, Commercial Vehicles, Engines, Automotive Logistics, New Mobility Solutions"
MSCI,MSCI,Business Services & Supplies,United States,4759.0,2.3,5.1,0.8809,Financial Services,39.233128,33.144035,14.37,6.4,0.0114,17.661564,,0.82341003,0.53836,0.45418,0.16479999,,31.826,0.198,5.788,,0.935,44.664684544,1.479709056,0.457815008,4.6502912,"['Index; Analytics; Environmental', 'Social', 'and Governance (ESG); and Real Estate']","Index and Analytics, ESG and Climate Solutions, Real Estate Solutions, Private Asset Solutions, New Data and Technology Products"
Quest Diagnostics,DGX,Drugs & Biotechnology,United States,50000.0,9.6,12.8,0.789,Healthcare,17.223263,13.690755,7.48,3.0,0.0235,1.541546,2.2673354,0.33171,0.12937,0.0923,0.062080003,0.14616,82.607,-0.019,6.197,85.665,1.307,14.262382592,1.772999936,0.686,5.497999872,[],"Diagnostic Information Services, COVID-19 Testing, Clinical Trials, Population and Data Solutions, New Healthcare Solutions"
HBIS,000709.SZ,Materials,China,27564.0,20.9,37.0,0.1951999999999999,Basic Materials,27.000002,,0.08,0.04,0.0185,0.17296495,0.43504533,0.098400004,0.05114,0.00804,0.014099999,0.0184,9.979,-0.177,3.513,178.938,0.542,3.28223594496,1.88449164288,5.338920480768,18.433691394048,[],"Iron and Steel Production, Mining, Logistics, Engineering and Construction, New Material Solutions"
Molson Coors Brewing,TAP,"Food, Drink & Tobacco",United States,16600.0,10.8,25.9,-0.2543,Consumer Defensive,15.347826,11.253356,4.37,1.76,0.026300002,1.2187986,1.0841173,0.37333,0.12624,0.08109,0.038259998,0.07259,54.176,0.061,4.087,47.895,0.696,14.262503424,2.281900032,0.868899968,6.434699776,"['United States', 'Canada', 'Europe', 'International', 'and Corporate']","Beer, Hard Seltzers, Non-Alcoholic Beverages, Adjacent Ventures, New Beverage Offerings"
AGCO,AGCO,Capital Goods,United States,25600.0,14.5,,,Industrials,7.556338,9.1995325,15.62,1.16,0.0098,0.61108154,1.888752,0.26209,0.10459,0.08128,0.099,0.27433002,192.679,-0.025,7.981,33.884,1.46,8.807151616,1.9928,0.595500032,1.577900032,"['North America', 'South America', 'Europe and Middle East', 'and Asia', 'Pacific', 'and Africa']","Agricultural Equipment, Precision Agriculture Technology, Grain and Protein Solutions, Parts and Services, New AgTech Solutions"
Chailease Holding,5871.TW,Business Services & Supplies,Taiwan,,2.9,28.5,0.9131,Financial Services,11.790247,8.89617,14.97,6.4,0.0363,5.229438,1.8691885,0.7218,0.52375,0.39636,0.02861,0.16615999,39.118,-0.01,26.746,415.954,1.377,10.56921616384,,1.38187505664,21.740851822592,[],"Leasing, Installment Sales, Banking, Securities, New Financial Services"
Autodesk,ADSK,"IT, Internet, Software & Services",United States,13700.0,4.9,9.4,0.823,Technology,63.27381,29.171242,4.2,,,10.341625,30.658745,0.91577005,0.21443,0.16482,0.07287,0.60400003,25.687,0.115,10.495,141.563,0.823,56.84791296,1.219000064,2.246000128,2.625999872,[],"Design Software, Construction Solutions, Manufacturing Solutions, Media and Entertainment Solutions, New Digital Solutions"
Qinghai Salt Lake Industry,000792.SZ,Chemicals,China,6315.0,3.8,6.2,2.1,Basic Materials,9.630057,9.916667,1.73,,,3.9360323,2.9813888,0.62722,0.19634001,0.39497003,0.16084999,0.36751997,4.352,-0.066,4.616,19.962,4.153,13.305232539648,1.86378576384,3.60458112,1.007013428736,[],"Potash Fertilizers, Industrial Salt, Bromine and Crude Salt, Chlor-Alkali Chemicals, New Chemical Products"
Atmos Energy,ATO,Utilities,United States,4684.0,4.6,21.3,0.8292,Utilities,18.66294,16.57163,6.26,3.22,0.0276,4.461636,1.5631732,0.54453,0.34899,0.23426001,0.03068,0.08767,26.848,-0.219,3.39,66.891,1.435,17.622636544,1.777826944,0.511289984,7.540755968,[],"Natural Gas Distribution, Pipeline and Storage, Marketing, New Energy Services"
Osaka Gas,9532.T,Oil & Gas Operations,Japan,20961.0,16.3,23.5,0.6237999999999999,Utilities,7.8403625,12.970943,445.26,80.0,0.0231,0.65226597,0.9034361,0.20972,0.08545,0.08448,0.043509997,0.123830006,5270.71,-0.163,372.187,51.867,1.779,12.9915003731968,3.1805843177472,1.3952847347712,7.638913010892801,"['Domestic Energy/Gas', 'Domestic Energy/Electricity', 'Overseas Energy', 'and Life and Business Solutions']","Natural Gas, LPG, Electricity, Residential Services, New Energy Solutions"
Datang International Power,601991.SS,Utilities,China,31227.0,17.2,43.9,-0.2369,Utilities,288.00003,11.52,0.01,0.03,0.0101,0.36392578,1.8045114,0.092709996,0.11359,0.01382,0.01365,0.031889997,6.495,0.024,0.601,189.107,0.541,6.43024607232,2.875894038528,1.634072208384,25.9918503936,"['Power Generation', 'Coal', 'and Others']","Thermal Power Generation, Renewable Energy, Coal Mining and Logistics, New Energy Ventures"
PGE Polska Grupa Energetyczna,PGE.WA,Utilities,Poland,41000.0,16.7,19.9,0.753,Utilities,6.8873787,4.4337497,1.03,,,0.17201857,0.28563374,0.13901,0.05605,0.026099999,0.02396,0.045640003,41.234,0.112,6.214,25.387,0.852,3.66088189952,1.91636005888,3.20689001472,3.30832,"['Conventional Generation', 'Renewables', 'Supply', 'Distribution', 'and Other Operations']","Electric Power Generation, Distribution and Trading, District Heating, Renewable Energy, New Energy Solutions"
Kawasaki Kisen Kaisha,9107.T,Transportation,Japan,5158.0,7.1,15.8,6.5,Industrials,11.125162,13.1117,569.34,250.0,0.0397,1.6064163,0.9894683,0.15373,0.09945,0.14064,0.020580001,0.085719995,3804.029,0.043,1376.817,20.736,2.191,13.583012724736,1.0055158923264,2.95253131264,2.9065854877696,"['Dry Bulk', 'Energy Resource Transport', 'Product Logistics', 'and Others']","Ocean Transportation, Logistics, Bulk Shipping, Energy Transportation, New Maritime Solutions"
Rexel,RXL.PA,Retail and Wholesale,France,26000.0,19.7,13.8,0.9693,Technology,9.85214,9.343173,2.57,1.2,0.048800003,0.39282525,1.3637098,0.25534,0.06005,0.04045,0.058920003,0.14329,63.662,-0.024,3.064,75.635,1.747,8.125853921280001,1.42452006912,0.98571603456,4.51818003456,[],"Electrical Supplies Distribution, Energy Management, Automation, Digital Solutions, New Technology Offerings"
StoneX Group,SNEX,Diversified Financials,United States,3600.0,64.5,21.9,0.2127,Financial Services,8.875,9.602459,7.92,,,0.033359498,1.4929272,0.02332,0.00495,0.00347,0.010720001,0.17372,2210.028,0.505,437.112,551.194,1.533,2.217649408,,13.790900224,8.173100032,"['Commercial Hedging', 'Global Payments', 'Securities', 'Physical Commodities', 'and Clearing and Execution Services']","Financial Services, Risk Management, Physical Commodities, Global Payments, New Fintech Solutions"
Avnet,AVT,Trading Companies,United States,15300.0,26.4,12.1,0.8623999999999999,Technology,6.5972414,8.038656,7.25,1.22,0.025899999,0.16876714,0.85686135,0.12043,0.03953,0.02616,0.05494,0.14192,280.903,-0.076,3.019,73.783,2.337,4.322091008,1.183296,0.272849984,3.69679488,[],"Electronic Components Distribution, Embedded Solutions, Design Services, Digital Capabilities, New Technology Solutions"
Investec,INVP.L,Diversified Financials,United Kingdom,8200.0,4.4,66.5,0.9498,Financial Services,7.1780815,6.7665286,0.73,0.33,0.065,1.4949554,94.72162,,0.41791,0.4164,0.0117999995,0.12628001,2.614,0.106,15.324,,,4.19200439296,,16.19595259904,7.59734611968,"['Asset Management', 'Wealth and Investment', 'and Specialist Banking']","Investment Banking, Corporate and Investment Banking, Wealth and Investment, New Financial Solutions"
Liberty Global,LBTYA,"Telecommunications Services, Cable Supplier",United Kingdom,33000.0,7.2,42.9,0.6267999999999999,Communication Services,,-11.344371,-9.52,,,0.88199574,0.34381709,0.68167,-0.07691,-0.54085,-0.00238,-0.18632999,17.599,0.043,10.388,99.373,1.302,6.60738304,2.153700096,3.921999872,18.888200192,['U'],"Broadband Communications, Video, Mobile, Convergence Software, New Connectivity Solutions"
Zimmer Biomet,ZBH,Health Care Equipment & Services,United States,18000.0,7.1,21.2,0.4498,Healthcare,26.038933,14.6394005,4.88,0.96,0.0076,3.5243871,2.0933068,0.71818,0.237,0.13849,0.04397,0.083629996,35.43,0.063,2.027,49.711,1.613,26.060023808,2.448900096,0.4158,6.208,[],"Orthopedic Reconstructive Products, Sports Medicine, Extremities, Craniomaxillofacial and Thoracic, New Medical Solutions"
Webster Financial,WBS,Banking,United States,4746.0,3.1,74.8,0.8761,Financial Services,10.362526,7.9006214,4.91,1.6,0.031400003,3.4912658,1.0412147,,0.26237,0.34710997,0.0118700005,0.103649996,14.555,-0.095,8.635,,,8.72871936,,1.48309504,4.089664,"['Commercial Banking', 'HSA Bank', 'and Community Banking']","Commercial Banking, Consumer Banking, Private Banking, HSA Bank, New Financial Solutions"
ResMed,RMD,Health Care Equipment & Services,United States,8160.0,4.0,6.7,0.863,Healthcare,32.0745,23.829027,6.04,1.92,0.01,6.326613,6.357848,0.55861,0.29181,0.19768,0.11185,0.21664,30.633,0.125,1.481,31.045,3.112,28.495550464,1.368189056,0.217864,1.391373056,"['Sleep and Respiratory Care', 'and SaaS']","Sleep Apnea Treatment, Respiratory Care Devices, Data-Driven Patient Care, Out-of-Hospital Software, New Digital Health Offerings"
Partners Group Holding,PGHN.SW,Diversified Financials,Switzerland,1705.0,2.2,4.9,1.1,Financial Services,30.586037,27.263268,42.83,39.0,0.0311,17.471876,13.999915,0.68974,0.61431,0.51602,0.15892,0.41435,74.997,-0.099,10.834,60.188,2.809,34.99328499712,1.27071096704,0.28943,1.50452103296,"['Private Equity', 'Private Debt', 'Private Real Estate', 'and Private Infrastructure']","Private Equity, Private Real Estate, Private Debt, Private Infrastructure, New Investment Solutions"
Owens Corning,OC,"Engineering, Manufacturing",United States,9000.0,9.7,10.8,1.3,Industrials,12.643835,11.187879,13.14,2.4,0.014400001,1.4935175,2.8043818,0.2878,0.19184,0.12359,0.09368,0.24270001,107.403,0.008,18.562,62.821,1.685,14.452768768,2.156,1.615000064,3.272999936,"['Composites', 'Insulation and Roofing']","Insulation, Roofing, Composites, Energy Solutions, New Material Innovations"
Brighthouse Financial,BHF,Insurance,United States,1500.0,8.5,227.2,0.005,Financial Services,,2.528564,-18.39,,,0.69052255,0.63118273,-0.14461,-0.42776,-0.24855,-0.0025499999,-0.20875,67.774,-0.531,83.728,180.411,0.589,3.08939776,,5.264999936,9.034999808,['Annuities; Life; Run-Off; and Corporate & Others'],"Annuities, Life Insurance, Investment and Retirement Solutions, New Financial Wellness Offerings"
Bunzl,BNZL.L,Trading Companies,United Kingdom,22451.0,14.8,10.6,0.5844,Consumer Defensive,19.876625,15.940218,1.54,0.68,0.0226,0.8771973,346.50217,0.27023,0.07407,0.0446,0.05816,0.18505,35.215,-0.078,4.247,106.682,1.403,12.83199647744,1.21210003968,1.76836396032,3.92397996032,[],"Distribution and Outsourcing, Grocery, Safety, Cleaning and Hygiene, Retail, New Supply Solutions"
Cincinnati Financial,CINF,Insurance,United States,5148.0,7.6,29.7,0.012,Financial Services,10.19211,17.050215,11.66,3.24,0.0273,1.8593895,1.5422349,0.24388,0.44814998,0.18406,0.0466,0.16267,63.777,0.077,5.789,7.224,0.628,18.618066944,2.441999872,0.907,0.874,"['Commercial Lines Insurance', 'Personal Lines Insurance', 'Excess & Surplus Lines Insurance', 'Life Insurance and Investments']","Property and Casualty Insurance, Life Insurance, Asset Management, New Insurance Products"
Mettler-Toledo International,MTD,Health Care Equipment & Services,United States,18000.0,4.0,3.4,0.8869,Healthcare,37.225807,30.169935,35.96,,,7.557646,,0.59163,0.28430998,0.20820999,0.19847,,173.393,-0.116,3.25,,1.042,28.630697984,1.164046976,0.069807,2.196284928,['U'],"Precision Instruments, Laboratory Equipment, Industrial Solutions, Food Retail Solutions, New Technology Solutions"
Vivendi,VIV.PA,Travel & Leisure,France,38315.0,10.1,33.4,-1.1,Communication Services,23.585716,11.006667,0.42,0.25,0.0251,0.96530247,0.5933513,0.45833,0.05712,0.03853,0.01201,0.02813,10.258,0.147,2.142,52.973,0.763,10.95695548416,1.18907993088,2.37060006912,9.86147979264,[],"Music, Television and Movies, Communications, Video Games, Publishing and Live Entertainment"
WestRock,WRK,"Engineering, Manufacturing",United States,27775.0,21.1,28.2,-1.2,Consumer Cyclical,,14.361765,-6.71,1.21,0.024500001,0.6271686,1.2366409,0.17858,0.041690003,-0.085810006,0.02619,-0.15777001,78.007,-0.062,1.899,92.193,1.549,12.547699712,2.710000128,0.4881,9.37110016,"['Corrugated Packaging', 'Consumer Packaging', 'and Land and Development']","Corrugated Packaging, Consumer Packaging, Containerboard, Recycling, New Fiber-Based Solutions"
XCMG Construction Machinery,000425.SZ,Capital Goods,China,27457.0,11.9,25.5,0.4491,Industrials,16.054054,9.428572,0.37,0.38,0.064,0.77661645,1.2489487,0.21789,0.10112,0.04947,0.0217,0.07882,7.501,-0.041,1.882,79.016,1.394,10.317669605376,1.352238031872,3.23627974656,6.62447536128,[],"Construction Machinery, Fire and Rescue Vehicles, Sanitation Machinery, Precision Machinery, New Industrial Solutions"
Kyushu Electric Power,9508.T,Utilities,Japan,21273.0,16.4,42.1,-0.4164,Utilities,3.0057032,7.194038,457.63,50.0,0.0365,0.2906749,0.7248836,0.13751,0.10529,0.09836,0.03385,0.28825,4731.625,-0.106,791.201,414.139,0.942,5.9176605057024005,4.836902633472,3.4038913499136,35.0770601918464,"['Electric Power', 'Energy-related', 'Information Technology (IT) and Telecommunications', 'and Other']","Electric Power Generation, Transmission and Distribution, Renewable Energy, Energy Services, New Energy Solutions"
Shanghai Electric Group,601727.SS,Capital Goods,China,41739.0,16.5,41.8,-0.4619,Industrials,,21.300001,-0.09,,,0.49295366,1.246343,0.16371,0.074200004,-0.01127,0.00221,0.0043200003,7.312,-0.089,2.452,61.468,1.173,8.5462121472,0.60325845888,5.6152814592,7.349441691648,"['New Energy and Environmental Protection', 'High Efficiency and Clean Energy', 'Industrial Equipment', 'Modern Services', 'and Others']","Power Generation Equipment, Industrial Equipment, Integration Services, Environmental Protection Equipment, New Energy Solutions"
